Gender,Residential_Pincode,Annual_Income_INR,CIBIL_Score,Employment_Gap,Device_OS,Loan_Status
Male,560008,1589419.0,462.0,False,Android,0
Female,560001,978215.0,553.0,True,Android,0
Male,560008,3483478.0,377.0,True,iOS,0
Female,560001,2416319.0,655.0,False,iOS,1
Male,581101,2338138.0,898.0,True,Android,0
Male,560038,976187.0,793.0,False,Android,1
Male,582101,2900587.0,646.0,True,Android,0
Female,582101,2992440.0,435.0,False,iOS,0
Male,580023,2332651.0,308.0,True,Android,0
Male,570001,2200049.0,751.0,True,iOS,1
Male,560067,,457.0,True,iOS,0
Female,560067,2508860.0,506.0,False,iOS,1
Female,560038,2158060.0,639.0,False,Android,1
Male,580023,,784.0,False,Android,1
Female,582101,2575172.0,540.0,False,Android,0
Male,560008,1379115.0,580.0,False,iOS,0
Male,582101,1504095.0,519.0,False,iOS,0
Female,581101,739587.0,323.0,False,Android,0
Female,560038,,735.0,False,iOS,0
Male,560038,2684471.0,418.0,False,iOS,1
Male,570001,954024.0,839.0,False,Android,0
Female,582101,2433577.0,654.0,True,Android,0
Male,560067,1898878.0,351.0,True,iOS,0
Female,570001,2340908.0,450.0,True,Android,0
Female,582101,1440717.0,737.0,False,Android,0
Male,560038,400618.0,596.0,True,Android,0
Female,560008,2801923.0,613.0,False,iOS,1
Male,580023,2231302.0,859.0,True,Android,0
Female,560001,693648.0,447.0,False,Android,0
Female,560001,991517.0,417.0,True,iOS,0
Female,570001,3342781.0,579.0,True,iOS,0
Female,581101,1823841.0,740.0,True,iOS,0
Male,560001,1848850.0,848.0,True,Android,0
Female,582101,2942172.0,608.0,True,Android,0
Male,560038,838655.0,357.0,True,Android,0
Female,582101,1798189.0,677.0,True,Android,0
Female,582101,2131329.0,638.0,True,iOS,0
Male,560038,2566818.0,360.0,True,iOS,1
Male,580023,2616076.0,479.0,False,iOS,0
Male,581101,1187025.0,529.0,True,Android,0
Male,570001,1767188.0,895.0,False,Android,1
Female,560067,1127994.0,699.0,True,Android,0
Female,570001,1236656.0,,False,Android,1
Female,560038,3402624.0,850.0,True,iOS,1
Female,582101,2667577.0,633.0,False,Android,0
Female,570001,929062.0,354.0,False,iOS,0
Male,581101,1251007.0,635.0,False,iOS,0
Male,580023,2842017.0,476.0,False,Android,0
Male,570001,2183523.0,592.0,False,Android,0
Male,560001,1876553.0,781.0,True,iOS,1
Male,582101,1266359.0,591.0,True,Android,0
Male,560008,2971438.0,772.0,False,Android,1
Female,570001,3158441.0,366.0,True,Android,0
Male,560067,2046476.0,857.0,False,iOS,1
Female,560001,2100736.0,689.0,True,iOS,0
Male,582101,1363427.0,454.0,False,iOS,0
Female,560038,2426663.0,800.0,False,Android,1
Female,580023,1543803.0,564.0,False,Android,0
Male,570001,2045140.0,791.0,False,Android,0
Male,560038,3439080.0,885.0,False,Android,0
Male,581101,2157587.0,675.0,True,iOS,0
Female,582101,2178065.0,587.0,True,Android,0
Male,570001,2552307.0,406.0,False,iOS,1
Male,582101,1090877.0,407.0,False,iOS,1
Male,582101,619550.0,747.0,False,Android,0
Male,560067,3169488.0,800.0,False,Android,0
Male,560038,2004752.0,361.0,False,Android,0
Female,581101,1935613.0,681.0,True,iOS,0
Male,580023,3073668.0,324.0,True,Android,0
Male,560038,1540776.0,,True,Android,0
Male,570001,446510.0,699.0,True,iOS,1
Female,582101,2712516.0,501.0,False,iOS,0
Male,560008,1765468.0,573.0,False,iOS,0
Female,560008,1779995.0,550.0,True,iOS,0
Male,560001,332073.0,567.0,False,iOS,0
Male,581101,758004.0,865.0,True,Android,1
Female,560001,848495.0,705.0,True,Android,0
Female,580023,1754281.0,601.0,True,Android,0
Male,570001,3016445.0,809.0,False,iOS,1
Male,560067,1020769.0,628.0,True,iOS,0
Female,570001,1670727.0,781.0,False,Android,0
Female,570001,903735.0,367.0,False,iOS,0
Male,570001,1491771.0,798.0,True,Android,0
Male,570001,1357076.0,431.0,True,Android,1
Male,560001,2209257.0,815.0,False,iOS,1
Male,560001,993872.0,763.0,False,Android,1
Female,560008,3123147.0,530.0,False,Android,0
Male,560001,2285656.0,496.0,True,iOS,1
Female,560008,2871243.0,449.0,True,Android,0
Male,560001,2046844.0,563.0,True,Android,0
Female,570001,3402251.0,860.0,False,iOS,0
Female,560038,1028820.0,553.0,False,Android,0
Male,560008,3310848.0,577.0,True,Android,0
Male,560067,3043004.0,323.0,False,Android,0
Male,570001,3402896.0,872.0,True,iOS,0
Female,581101,1849537.0,854.0,False,Android,0
Male,560008,2264684.0,776.0,True,Android,0
Male,560008,774414.0,446.0,False,Android,0
Male,582101,1074627.0,303.0,False,iOS,0
Male,570001,1967367.0,347.0,True,iOS,1
Female,582101,2144129.0,434.0,False,iOS,0
Female,580023,1875104.0,693.0,True,iOS,1
Male,581101,2357135.0,684.0,True,iOS,0
Male,581101,1039542.0,838.0,False,iOS,0
Male,560008,2378635.0,353.0,True,Android,0
Female,560067,2271247.0,409.0,False,Android,1
Male,560008,2932394.0,533.0,True,Android,0
Female,560008,1435889.0,321.0,True,Android,0
Male,560038,2551620.0,785.0,True,iOS,1
Male,560001,,478.0,False,Android,0
Female,570001,1752945.0,547.0,True,iOS,1
Male,560008,2529430.0,564.0,True,iOS,1
Female,570001,1907544.0,798.0,False,Android,0
Female,560008,1830031.0,398.0,False,iOS,0
Male,560008,1276012.0,606.0,True,iOS,0
Female,570001,357970.0,886.0,True,Android,0
Female,560008,3056945.0,366.0,False,iOS,1
Male,560008,3294492.0,635.0,False,Android,1
Female,560038,,486.0,False,iOS,0
Male,580023,1613145.0,579.0,True,iOS,0
Female,560001,2886687.0,728.0,True,Android,1
Male,580023,1743491.0,863.0,False,Android,0
Female,570001,949878.0,552.0,False,Android,1
Male,581101,1815514.0,876.0,False,iOS,1
Female,560067,1155200.0,322.0,False,Android,0
Female,560001,2358505.0,328.0,True,Android,0
Male,560008,3214740.0,578.0,True,iOS,1
Female,580023,1973270.0,392.0,False,iOS,1
Male,560008,2246912.0,300.0,False,iOS,0
Female,582101,1862775.0,622.0,True,Android,0
Male,580023,2959798.0,823.0,False,iOS,0
Female,580023,1370479.0,794.0,True,iOS,1
Male,580023,826010.0,817.0,False,Android,1
Female,581101,1944661.0,771.0,False,Android,0
Male,581101,2821988.0,453.0,False,Android,0
Male,570001,2575642.0,440.0,False,Android,0
Female,580023,899196.0,,False,iOS,0
Male,570001,904151.0,732.0,True,iOS,0
Female,581101,817839.0,561.0,False,Android,0
Female,581101,2904353.0,368.0,False,iOS,0
Male,560008,,323.0,True,Android,1
Female,560001,1913442.0,624.0,False,iOS,1
Male,560067,394219.0,894.0,False,Android,1
Female,560001,3220354.0,,True,Android,1
Female,580023,2322306.0,485.0,False,iOS,0
Female,581101,2148242.0,361.0,True,iOS,0
Female,581101,621531.0,860.0,True,iOS,0
Male,560067,2190768.0,693.0,True,iOS,0
Female,560067,1928417.0,,False,iOS,1
Female,560001,2817144.0,373.0,True,iOS,0
Female,560001,1461369.0,828.0,True,iOS,1
Male,560001,1080462.0,875.0,True,iOS,1
Male,581101,1143152.0,699.0,False,iOS,0
Female,570001,1847927.0,432.0,True,iOS,0
Male,560001,1831232.0,853.0,False,iOS,1
Female,560001,1221435.0,330.0,False,Android,0
Male,581101,3287939.0,366.0,True,iOS,0
Male,582101,,810.0,True,iOS,0
Female,570001,2528322.0,365.0,True,Android,0
Male,570001,733633.0,356.0,False,iOS,1
Female,560067,3016440.0,883.0,True,iOS,0
Female,560038,2467468.0,816.0,True,iOS,0
Male,560038,3379224.0,893.0,True,iOS,1
Male,580023,2039688.0,722.0,True,iOS,0
Male,581101,3389412.0,759.0,True,Android,1
Male,581101,1170215.0,758.0,False,iOS,0
Male,582101,659171.0,499.0,True,Android,0
Male,582101,2823216.0,621.0,True,Android,1
Female,560038,761810.0,633.0,False,Android,0
Male,570001,991114.0,388.0,True,Android,0
Female,570001,1940921.0,551.0,True,iOS,0
Female,582101,3259397.0,332.0,False,Android,0
Female,570001,1338525.0,,False,Android,1
Female,580023,3157370.0,839.0,True,Android,0
Male,582101,2583048.0,586.0,False,Android,0
Female,581101,2462983.0,397.0,True,Android,0
Male,582101,2360051.0,854.0,False,iOS,1
Male,560067,3327344.0,746.0,True,Android,0
Male,560008,701614.0,581.0,True,iOS,0
Female,560001,2272228.0,576.0,True,iOS,1
Female,560038,1133369.0,400.0,False,iOS,0
Female,560008,496635.0,534.0,False,Android,0
Male,560008,520410.0,,True,Android,0
Female,560001,1619002.0,389.0,True,Android,0
Female,560008,348787.0,348.0,False,iOS,1
Female,582101,1663465.0,424.0,True,Android,0
Male,560067,2933598.0,331.0,True,Android,0
Male,560038,2768077.0,327.0,True,iOS,1
Male,560067,1355131.0,825.0,False,Android,0
Female,560067,990431.0,563.0,True,Android,1
Female,570001,2211133.0,674.0,True,Android,1
Male,560038,3050129.0,377.0,False,iOS,1
Female,560038,1739409.0,661.0,True,Android,1
Female,560067,3349791.0,579.0,True,iOS,1
Female,560008,733905.0,415.0,True,iOS,0
Female,580023,1844192.0,314.0,False,Android,0
Female,560067,2634436.0,427.0,False,Android,0
Female,581101,3418154.0,764.0,True,Android,0
Female,560067,1249097.0,703.0,True,iOS,0
Female,560038,355311.0,702.0,True,Android,1
Male,580023,2804164.0,586.0,True,Android,0
Male,560008,758392.0,416.0,True,iOS,1
Male,560038,2081596.0,605.0,False,iOS,1
Female,580023,907266.0,521.0,True,iOS,1
Male,560008,3229734.0,833.0,False,iOS,0
Female,560001,2742996.0,808.0,True,iOS,0
Female,582101,1677774.0,502.0,True,iOS,0
Female,580023,1715442.0,341.0,False,Android,0
Male,560067,1701996.0,497.0,True,Android,0
Female,560067,563880.0,827.0,False,iOS,0
Male,560008,2392997.0,459.0,True,Android,0
Male,560038,3433434.0,384.0,False,Android,0
Male,581101,794480.0,611.0,False,Android,0
Male,560067,2184463.0,327.0,True,iOS,0
Male,560001,1826389.0,800.0,True,Android,1
Male,560001,2585779.0,,True,Android,0
Female,570001,,424.0,False,iOS,1
